n,graphType,laplacianEntropy,adjacencyEntropy,entropyRatio,eulerCharacteristic,torusLatticeLaplacianRatio
2,Complete Graph,1.386294,0.000000,0.000000,1,
2,Path Graph,1.386294,0.000000,0.000000,1,
2,Cycle Graph,1.386294,0.000000,0.000000,1,
2,Complete Bipartite,1.386294,0.000000,0.000000,1,
2,Star Graph,1.386294,0.000000,0.000000,1,
2,Random Tree,1.386294,0.000000,0.000000,1,
2,Lattice,1.386294,0.000000,0.000000,1,
3,Complete Graph,6.591674,1.386294,4.754888,0,
3,Path Graph,3.295837,0.980258,3.362213,1,
3,Cycle Graph,6.591674,1.386294,4.754888,0,
3,Complete Bipartite,3.295837,0.980258,3.362213,1,
3,Star Graph,3.295837,0.980258,3.362213,1,
3,Random Tree,3.295837,0.980258,3.362213,1,
3,Lattice,3.295837,0.980258,3.362213,1,
4,Complete Graph,16.635532,3.295837,5.047438,-2,
4,Path Graph,5.265490,0.962424,5.471073,1,
4,Cycle Graph,8.317766,2.772589,3.000000,0,
4,Complete Bipartite,8.317766,2.772589,3.000000,0,
4,Star Graph,5.545177,1.902852,2.914140,1,
4,Random Tree,5.265490,0.962424,5.471073,1,
4,Lattice,8.317766,2.772589,3.000000,0,
5,Complete Graph,32.188758,5.545177,5.804820,-5,
5,Path Graph,7.251662,1.902852,3.810943,1,
5,Cycle Graph,10.199234,2.348718,4.342469,0,
5,Complete Bipartite,14.115615,4.388896,3.216211,-1,
5,Star Graph,8.047190,2.772589,2.902410,1,
5,Random Tree,7.251662,1.902852,3.810943,1,
5,Lattice,10.612529,2.695437,3.937220,0,
6,Complete Graph,53.752784,8.047190,6.679697,-9,
6,Path Graph,9.244207,1.952065,4.735605,1,
6,Cycle Graph,12.136851,2.772589,4.377444,0,
6,Complete Bipartite,23.933904,6.591674,3.630930,-3,
6,Star Graph,10.750557,3.598813,2.987251,1,
6,Random Tree,9.565756,1.862460,5.136088,1,
6,Lattice,16.025158,3.525494,4.545507,-1,
7,Complete Graph,81.728226,10.750557,7.602232,-14,
7,Path Graph,11.239731,2.839890,3.957805,1,
7,Cycle Graph,14.099890,3.338359,4.223599,0,
7,Complete Bipartite,34.599237,8.607969,4.019442,-5,
7,Star Graph,13.621371,4.388896,3.103598,1,
7,Random Tree,11.566215,2.796538,4.135905,1,
7,Lattice,18.354990,4.394266,4.177032,-1,
8,Complete Graph,116.448726,13.621371,8.548972,-20,
8,Path Graph,13.236834,2.944268,4.495798,1,
8,Cycle Graph,16.076157,4.733105,3.396535,0,
8,Complete Bipartite,49.906597,11.090355,4.500000,-8,
8,Star Graph,16.635532,5.148394,3.231208,1,
8,Random Tree,14.438686,3.615053,3.994045,1,
8,Lattice,24.028758,6.087255,3.947388,-2,
9,Complete Graph,158.200170,16.635532,9.509775,-27,
9,Path Graph,15.234851,3.788715,4.021113,1,
9,Cycle Graph,18.060001,4.330562,4.170359,0,
9,Complete Bipartite,66.097300,13.397322,4.933620,-11,
9,Star Graph,19.775021,5.881549,3.362213,1,
9,Random Tree,15.914878,3.773765,4.217242,1,
9,Lattice,29.818880,7.842065,3.802427,-3,
10,Complete Graph,207.232658,19.775021,10.479516,-35,
10,Path Graph,17.233435,3.935840,4.378591,1,
10,Cycle Graph,20.048501,4.697436,4.267967,0,
10,Complete Bipartite,87.403367,16.094379,5.430677,-15,
10,Star Graph,23.025851,6.591674,3.493172,1,
10,Random Tree,18.474181,4.547292,4.062678,1,
10,Lattice,31.830418,6.999711,4.547390,-3,
11,Complete Graph,263.768480,23.025851,11.455320,-44,
11,Path Graph,19.232387,4.745570,4.052703,1,
11,Cycle Graph,22.040023,5.322135,4.141200,0,
11,Complete Bipartite,109.615023,18.629125,5.884067,-19,
11,Star Graph,26.376848,7.281413,3.622490,1,
11,Random Tree,20.241961,4.597019,4.403280,1,
11,Lattice,37.873644,8.698764,4.353911,-4,
12,Complete Graph,328.007678,26.376848,12.435439,-54,
12,Path Graph,21.231591,4.926357,4.309795,1,
12,Cycle Graph,24.033592,6.578293,3.653469,0,
12,Complete Bipartite,137.324448,21.501114,6.386853,-24,
12,Star Graph,29.818880,7.952919,3.749426,1,
12,Random Tree,22.468703,5.498163,4.086584,1,
12,Lattice,43.689774,9.560792,4.569681,-5,
13,Complete Graph,400.132100,29.818880,13.418750,-65,
13,Path Graph,23.230972,5.707977,4.069913,1,
13,Cycle Graph,26.028597,6.312652,4.123243,0,
13,Complete Bipartite,165.954538,24.222868,6.851152,-29,
13,Star Graph,33.344342,8.607969,3.873660,1,
13,Random Tree,24.797045,6.406924,3.870351,1,
13,Lattice,46.053744,10.386862,4.433846,-5,
14,Complete Graph,480.308434,33.344342,14.404496,-77,
14,Path Graph,25.230481,5.915895,4.264863,1,
14,Cycle Graph,28.024640,6.676718,4.197367,0,
14,Complete Bipartite,200.403255,27.242742,7.356207,-35,
14,Star Graph,36.946803,9.248056,3.995088,1,
14,Random Tree,27.394888,7.275438,3.765394,1,
14,Lattice,51.767154,11.983228,4.319967,-6,
15,Complete Graph,568.690542,36.946803,15.392145,-90,
15,Path Graph,27.230085,6.674352,4.079809,1,
15,Cycle Graph,30.021452,7.302190,4.111295,0,
15,Complete Bipartite,235.783544,30.122974,7.827366,-41,
15,Star Graph,40.620753,9.874448,4.113724,1,
15,Random Tree,30.194408,8.117165,3.719822,1,
15,Lattice,57.832007,13.595342,4.253810,-7,
16,Complete Graph,665.421293,40.620753,16.381314,-104,
16,Path Graph,29.229761,6.904612,4.233368,1,
16,Cycle Graph,32.018846,8.452370,3.788150,0,
16,Complete Bipartite,277.258872,33.271065,8.333333,-48,
16,Star Graph,44.361420,10.488233,4.229637,1,
16,Random Tree,31.460686,8.206034,3.833848,1,
16,Lattice,63.672740,15.322169,4.155596,-8,
17,Complete Graph,770.634030,44.361420,17.371717,-119,
17,Path Graph,31.229493,7.643658,4.085674,1,
17,Cycle Graph,34.016687,8.290906,4.102892,0,
17,Complete Bipartite,319.674034,36.288715,8.809186,-55,
17,Star Graph,48.164627,11.090355,4.342929,1,
17,Random Tree,35.081308,7.958246,4.408171,1,
17,Lattice,65.661952,14.604814,4.495912,-8,
18,Complete Graph,884.453758,48.164627,18.363139,-135,
18,Path Graph,33.229268,7.892655,4.210151,1,
18,Cycle Graph,36.014880,8.661124,4.158222,0,
18,Complete Bipartite,368.427031,39.550042,9.315465,-63,
18,Star Graph,52.026692,11.681638,4.453715,1,
18,Random Tree,36.017576,10.059556,3.580434,1,
18,Lattice,71.741371,15.545306,4.614986,-9,
19,Complete Graph,1006.998131,52.026692,19.355414,-152,
19,Path Graph,35.229077,8.615190,4.089182,1,
19,Cycle Graph,38.013351,9.278949,4.096730,0,
19,Complete Bipartite,418.126339,42.688943,9.794722,-71,
19,Star Graph,55.944341,12.262809,4.562115,1,
19,Random Tree,40.996554,10.468158,3.916310,1,
19,Lattice,77.829844,17.193262,4.526764,-10,
20,Complete Graph,1138.378264,55.944341,20.348408,-170,
20,Path Graph,37.228915,8.880147,4.192376,1,
20,Cycle Graph,40.012047,10.350018,3.865891,0,
20,Complete Bipartite,474.379962,46.051702,10.301030,-80,
20,Star Graph,59.914645,12.834512,4.668245,1,
20,Random Tree,40.259008,10.010509,4.021674,1,
20,Lattice,83.675364,18.090824,4.625293,-11,
21,Complete Graph,1278.699424,59.914645,21.342018,-189,
21,Path Graph,39.228775,9.588455,4.091251,1,
21,Cycle Graph,42.010924,10.266441,4.092063,0,
21,Complete Bipartite,531.585112,49.299054,10.782866,-89,
21,Star Graph,63.934971,13.397322,4.772220,1,
21,Random Tree,42.965482,10.886992,3.946497,1,
21,Lattice,86.046684,18.885980,4.556114,-11,
22,Complete Graph,1428.061613,63.934971,22.336158,-209,
22,Path Graph,41.228654,9.867185,4.178360,1,
22,Cycle Graph,44.009952,10.644270,4.134615,0,
22,Complete Bipartite,595.539894,52.753696,11.289065,-99,
22,Star Graph,68.002934,13.951755,4.874149,1,
22,Random Tree,44.258333,11.929342,3.710040,1,
22,Lattice,91.767878,20.442844,4.488998,-12,
23,Complete Graph,1586.560073,68.002934,23.330759,-230,
23,Path Graph,43.228548,10.563095,4.092413,1,
23,Cycle Graph,46.009104,11.253480,4.088434,0,
23,Complete Bipartite,660.450493,56.099123,11.772920,-109,
23,Star Graph,72.116367,14.498274,4.974135,1,
23,Random Tree,47.592022,9.921173,4.797016,1,
23,Lattice,97.851416,21.986838,4.450454,-13,
24,Complete Graph,1754.285714,72.116367,24.325764,-252,
24,Path Graph,45.228455,10.853847,4.167044,1,
24,Cycle Graph,48.008360,12.263729,3.914662,0,
24,Complete Bipartite,732.288647,59.637760,12.278943,-120,
24,Star Graph,76.273292,15.037302,5.072272,1,
24,Random Tree,50.143234,11.618804,4.315697,1,
24,Lattice,103.944366,23.560474,4.411811,-14,
25,Complete Graph,1931.325495,76.273292,25.321124,-275,
25,Path Graph,47.228373,11.538846,4.092989,1,
25,Cycle Graph,50.007704,12.240141,4.085550,0,
25,Complete Bipartite,805.086211,63.072681,12.764420,-131,
25,Star Graph,80.471896,15.569221,5.168653,1,
25,Random Tree,52.358220,12.625486,4.147026,1,
25,Lattice,109.794360,25.256359,4.347197,-15,
26,Complete Graph,2117.762750,80.471896,26.316800,-299,
26,Path Graph,49.228301,11.840193,4.157728,1,
26,Cycle Graph,52.007122,12.625303,4.119277,0,
26,Complete Bipartite,884.974710,66.688683,13.270238,-143,
26,Star Graph,84.710510,16.094379,5.263360,1,
26,Random Tree,55.437375,13.394893,4.138695,1,
26,Lattice,111.779303,24.093044,4.639484,-15,
27,Complete Graph,2313.677480,84.710510,27.312756,-324,
27,Path Graph,51.228236,12.515510,4.093180,1,
27,Cycle Graph,54.006603,13.226487,4.083216,0,
27,Complete Bipartite,965.825668,70.205888,13.757046,-155,
27,Star Graph,88.987595,16.613098,5.356472,1,
27,Random Tree,55.873505,13.645452,4.094661,1,
27,Lattice,117.865568,25.614348,4.601545,-16,
28,Complete Graph,2519.146610,88.987595,28.308964,-350,
28,Path Graph,53.228178,12.826272,4.149934,1,
28,Cycle Graph,56.006140,14.188543,3.947279,0,
28,Complete Bipartite,1053.918594,73.893605,14.262650,-168,
28,Star Graph,93.301726,17.125671,5.448063,1,
28,Random Tree,60.621764,14.163639,4.280098,1,
28,Lattice,123.972150,26.579684,4.664169,-17,
29,Complete Graph,2734.244214,93.301726,29.305398,-377,
29,Path Graph,55.228126,13.492933,4.093115,1,
29,Cycle Graph,58.005723,14.212566,4.081298,0,
29,Complete Bipartite,1142.976605,77.486950,14.750569,-181,
29,Star Graph,97.651579,17.632369,5.538200,1,
29,Random Tree,63.631694,14.820676,4.293441,1,
29,Lattice,130.069338,28.191708,4.613745,-18,
30,Complete Graph,2959.041722,97.651579,30.302037,-405,
30,Path Graph,57.228079,13.812123,4.143322,1,
30,Cycle Graph,60.005348,14.604379,4.108723,0,
30,Complete Bipartite,1239.417006,81.241506,15.255958,-195,
30,Star Graph,102.035921,18.133443,5.626947,1,
30,Random Tree,64.803960,16.009179,4.047925,1,
30,Lattice,135.920715,29.119448,4.667696,-19,
31,Complete Graph,3193.608100,102.035921,31.298861,-434,
31,Path Graph,59.228037,14.470993,4.092880,1,
31,Cycle Graph,62.005008,15.198418,4.079702,0,
31,Complete Bipartite,1336.824772,84.905693,15.744819,-209,
31,Star Graph,106.453603,18.629125,5.714364,1,
31,Random Tree,68.245928,16.777037,4.067818,1,
31,Lattice,138.294385,29.889330,4.626881,-19,
32,Complete Graph,3438.010016,106.453603,32.295854,-464,
32,Path Graph,61.227998,14.797779,4.137648,1,
32,Cycle Graph,64.004699,16.121293,3.970196,0,
32,Complete Bipartite,1441.746136,88.722839,16.250000,-224,
32,Star Graph,110.903549,19.119632,5.800507,1,
32,Random Tree,68.255972,16.002147,4.265426,1,
32,Lattice,144.017986,31.420471,4.583572,-20,
33,Complete Graph,3692.311985,110.903549,33.293001,-495,
33,Path Graph,63.227963,15.449595,4.092532,1,
33,Cycle Graph,66.004419,16.184073,4.078356,0,
33,Complete Bipartite,1547.636865,92.453256,16.739669,-239,
33,Star Graph,115.384750,19.605163,5.885427,1,
33,Random Tree,72.024818,17.654914,4.079590,1,
33,Lattice,150.105510,32.933399,4.557850,-21,
34,Complete Graph,3956.576509,115.384750,34.290290,-527,
34,Path Graph,65.227931,15.783265,4.132727,1,
34,Cycle Graph,68.004162,16.581812,4.101130,0,
34,Complete Bipartite,1661.164317,96.329254,17.244651,-255,
34,Star Graph,119.896258,20.085907,5.969173,1,
34,Random Tree,73.229112,17.793514,4.115495,1,
34,Lattice,156.213419,34.453293,4.534063,-22,
35,Complete Graph,4230.864193,119.896258,35.287708,-560,
35,Path Graph,67.227902,16.428662,4.092111,1,
35,Cycle Graph,70.003928,17.169559,4.077212,0,
35,Complete Bipartite,1775.662905,100.121848,17.735019,-271,
35,Star Graph,124.437182,20.562039,6.051792,1,
35,Random Tree,74.860773,17.950873,4.170314,1,
35,Lattice,162.311994,35.997331,4.509001,-23,
36,Complete Graph,4515.233862,124.437182,36.285247,-594,
36,Path Graph,69.227875,16.768603,4.128422,1,
36,Cycle Graph,72.003713,18.059905,3.986937,0,
36,Complete Bipartite,1897.914198,104.053383,18.239812,-288,
36,Star Graph,129.006682,21.033723,6.133326,1,
36,Random Tree,80.285749,19.229862,4.175056,1,
36,Lattice,168.164659,37.664301,4.464829,-24,
37,Complete Graph,4809.742660,129.006682,37.282896,-629,
37,Path Graph,71.227850,17.408130,4.091643,1,
