n,graphType,laplacianEntropy,adjacencyEntropy,entropyRatio,eulerCharacteristic
2,Complete Graph,0.000000,0.000000,0.000000,1
2,Path Graph,0.000000,0.000000,0.000000,1
2,Cycle Graph,0.000000,0.000000,0.000000,1
2,Complete Bipartite,0.000000,0.000000,0.000000,1
2,Star Graph,0.000000,0.000000,0.000000,1
2,Random Tree,0.000000,0.000000,0.000000,1
2,Lattice,0.000000,0.000000,0.000000,1
3,Complete Graph,0.000000,0.000000,0.000000,0
3,Path Graph,0.000000,0.000000,0.000000,1
3,Cycle Graph,0.000000,0.000000,0.000000,0
3,Complete Bipartite,0.000000,0.000000,0.000000,1
3,Star Graph,0.000000,0.000000,0.000000,1
3,Random Tree,0.000000,0.000000,0.000000,1
3,Lattice,0.000000,0.000000,0.000000,1
4,Complete Graph,0.000000,0.000000,0.000000,-2
4,Path Graph,0.000000,0.000000,0.000000,1
4,Cycle Graph,0.000000,0.000000,0.000000,0
4,Complete Bipartite,0.000000,0.000000,0.000000,0
4,Star Graph,0.000000,0.000000,0.000000,1
4,Random Tree,0.000000,0.000000,0.000000,1
4,Lattice,0.000000,0.000000,0.000000,0
5,Complete Graph,0.000000,0.000000,0.000000,-5
5,Path Graph,0.000000,0.000000,0.000000,1
5,Cycle Graph,0.000000,0.000000,0.000000,0
5,Complete Bipartite,0.000000,0.000000,0.000000,-1
5,Star Graph,0.000000,0.000000,0.000000,1
5,Random Tree,0.000000,0.000000,0.000000,1
5,Lattice,0.000000,0.000000,0.000000,0
6,Complete Graph,0.000000,0.000000,0.000000,-9
6,Path Graph,0.000000,0.000000,0.000000,1
6,Cycle Graph,0.000000,0.000000,0.000000,0
6,Complete Bipartite,0.000000,0.000000,0.000000,-3
6,Star Graph,0.000000,0.000000,0.000000,1
6,Random Tree,0.000000,0.000000,0.000000,1
6,Lattice,0.000000,0.000000,0.000000,-1
7,Complete Graph,0.000000,0.000000,0.000000,-14
7,Path Graph,0.000000,0.000000,0.000000,1
7,Cycle Graph,0.000000,0.000000,0.000000,0
7,Complete Bipartite,0.000000,0.000000,0.000000,-5
7,Star Graph,0.000000,0.000000,0.000000,1
7,Random Tree,0.000000,0.000000,0.000000,1
7,Lattice,0.000000,0.000000,0.000000,-1
